Transaction_ID,Account_ID,Amount,Category,Risk_Score
TXN-000210,47157,463.48,Travel,Low
TXN-000211,77863,305.57,Travel,Low
TXN-000212,62083,669.96,IT Services,Low
TXN-000213,75733,23.75,Procurement,Medium
TXN-000214,99045,1317.9,Operations,Low
TXN-000215,44698,429.19,Procurement,Low
TXN-000216,90623,586.11,Travel,Low
TXN-000217,32671,473.91,Payroll,Low
TXN-000218,35184,2270.95,IT Services,Low
TXN-000219,52107,2155.12,Operations,High
TXN-000220,96202,480.67,Payroll,Medium
TXN-000221,61663,585.95,Operations,Low
TXN-000222,25708,491.91,IT Services,High
TXN-000223,59811,196.03,IT Services,Low
TXN-000224,12811,116.98,Operations,Low
TXN-000225,66250,267.72,Travel,Medium
TXN-000226,82082,584.04,Payroll,Low
TXN-000227,44754,38.8,Payroll,Low
TXN-000228,21411,371.09,Procurement,Low
TXN-000229,12911,272.46,Payroll,Medium
TXN-000230,77270,384.84,Travel,Low
TXN-000231,93763,993.87,Travel,Low
TXN-000232,18680,34.39,Operations,High
TXN-000233,94896,731.17,Procurement,Low
TXN-000234,93879,559.67,Payroll,Low
TXN-000235,81295,123.98,Payroll,Low
TXN-000236,98614,672.47,IT Services,Low
TXN-000237,21111,352.96,Operations,Low
TXN-000238,47504,337.95,Procurement,Low
TXN-000239,11802,339.92,Travel,High
TXN-000240,18155,1500.26,Payroll,Low
TXN-000241,83656,1454.47,Payroll,Medium
TXN-000242,49384,1234.43,IT Services,Low
TXN-000243,57254,1099.04,IT Services,Low
TXN-000244,31918,29.16,Payroll,Low
TXN-000245,95981,265.91,Payroll,Low
TXN-000246,70713,1136.31,IT Services,Low
TXN-000247,40306,713.51,Travel,Low
TXN-000248,26646,315.01,Payroll,Low
TXN-000249,56843,751.96,Operations,Low
TXN-000250,26371,126.71,Payroll,Low
TXN-000251,87371,467.89,Operations,Medium
TXN-000252,12049,390.71,IT Services,Medium
TXN-000253,41616,436.13,Travel,Low
TXN-000254,30932,649.7,Procurement,Low
TXN-000255,39855,1505.89,Procurement,High
TXN-000256,71434,163.27,Procurement,Medium
TXN-000257,82694,719.51,IT Services,Low
TXN-000258,53016,528.02,IT Services,Low
TXN-000259,17400,603.96,Payroll,High
TXN-000260,52642,290.11,Travel,Medium
TXN-000261,25151,1456.39,Travel,High
TXN-000262,61407,336.63,Payroll,Low
TXN-000263,76690,74.82,Travel,Low
TXN-000264,14499,580.8,Travel,Low
TXN-000265,16295,78.98,Payroll,High
TXN-000266,69040,204.8,IT Services,Medium
TXN-000267,22183,139.39,Procurement,Low
TXN-000268,39299,397.11,Payroll,Low
TXN-000269,22874,223.48,Payroll,Low
TXN-000270,42711,97.09,Procurement,Low
TXN-000271,15539,792.27,Procurement,Low
TXN-000272,63351,326.02,Operations,Low
TXN-000273,71267,312.98,Operations,Low
TXN-000274,58354,1097.37,Operations,High
TXN-000275,12557,396.99,IT Services,High
TXN-000276,48360,628.76,Payroll,Low
TXN-000277,92018,208.8,Operations,Low
TXN-000278,12200,421.96,IT Services,Low
TXN-000279,78497,658.07,Procurement,Medium
TXN-000280,56975,185.82,Operations,Low
TXN-000281,31357,593.23,Payroll,Low
TXN-000282,87505,430.55,Travel,Medium
TXN-000283,12869,294.75,IT Services,Low
TXN-000284,71135,634.08,IT Services,Medium
TXN-000285,60108,200.56,Procurement,Medium
TXN-000286,48467,636.76,Procurement,Low
TXN-000287,33328,410.49,Procurement,Medium
TXN-000288,96831,150.92,Operations,Low
TXN-000289,13987,561.73,Procurement,Low
TXN-000290,68871,1090.39,Travel,Low
TXN-000291,32399,195.54,IT Services,Low
TXN-000292,56214,846.54,IT Services,Medium
TXN-000293,96416,214.83,Procurement,Medium
TXN-000294,80271,870.52,Payroll,Medium
TXN-000295,54064,36.25,IT Services,Medium
TXN-000296,80091,13.62,Operations,High
TXN-000297,50818,70.1,Payroll,Low
TXN-000298,55525,1045.51,Payroll,Low
TXN-000299,29830,391.49,Travel,High
TXN-000300,27429,460.83,Procurement,Medium
TXN-000301,16893,933.23,Operations,Low
TXN-000302,89909,35.99,Payroll,Low
TXN-000303,57333,254.78,Payroll,Medium
TXN-000304,13436,525.14,Procurement,Low
TXN-000305,84290,269.33,Operations,Medium
TXN-000306,86213,26.33,Procurement,Low
TXN-000307,15895,536.26,Operations,Low
TXN-000308,29738,258.3,Procurement,High
TXN-000309,40746,19.7,Procurement,Low
TXN-000310,59377,103.48,Procurement,Low
TXN-000311,58404,132.68,Travel,Low
TXN-000312,64045,367.3,Procurement,Low
TXN-000313,49790,113.13,Payroll,Medium
TXN-000314,15600,234.18,Travel,Low
TXN-000315,50764,704.48,Procurement,High
TXN-000316,84543,834.4,Operations,Low
TXN-000317,55714,803.38,IT Services,Medium
TXN-000318,66835,603.86,Travel,Low
TXN-000319,83744,400.24,Operations,High
TXN-000320,66491,409.95,Travel,Medium
TXN-000321,28589,1542.94,Operations,High
TXN-000322,53484,1061.33,Payroll,Medium
TXN-000323,92989,534.6,Operations,Low
TXN-000324,46212,326.02,Payroll,Medium
TXN-000325,53525,662.95,Operations,Low
TXN-000326,57202,42.38,Travel,Low
TXN-000327,42635,1456.66,IT Services,Low
TXN-000328,73208,406.57,Travel,Medium
TXN-000329,43828,359.37,Payroll,Low
TXN-000330,28711,181.83,Operations,Low
TXN-000331,13420,11.7,Operations,Low
TXN-000332,10301,41.6,Operations,Low
TXN-000333,55236,162.59,IT Services,High
TXN-000334,76235,399.95,Travel,Medium
TXN-000335,64240,53.64,Travel,Medium
TXN-000336,75726,1798.7,Operations,Low
TXN-000337,20492,274.63,Operations,Low
TXN-000338,16102,200.13,Operations,Medium
TXN-000339,60336,382.43,Travel,Low
TXN-000340,95314,43.6,IT Services,Medium
TXN-000341,36641,960.06,Operations,High
TXN-000342,44584,318.35,Operations,Low
TXN-000343,42745,108.21,IT Services,Medium
TXN-000344,33093,98.21,IT Services,Medium
TXN-000345,76105,233.89,Operations,Low
TXN-000346,61885,435.91,Payroll,Medium
TXN-000347,46631,279.7,IT Services,Low
TXN-000348,82991,464.16,IT Services,Medium
TXN-000349,14014,621.2,Travel,Medium
TXN-000350,21093,700.13,Procurement,Low
TXN-000351,28070,266.21,Operations,Low
TXN-000352,45777,641.16,Procurement,Low
TXN-000353,66958,86.29,Procurement,Low
TXN-000354,92074,369.84,Operations,Low
TXN-000355,20729,47.64,Travel,High
TXN-000356,55017,149.93,IT Services,Low
TXN-000357,76320,447.56,Travel,Low
TXN-000358,37751,684.35,Travel,Low
TXN-000359,88069,60.08,Operations,Medium
TXN-000360,64748,126.01,Payroll,Medium
TXN-000361,15801,2417.84,IT Services,Low
TXN-000362,29190,215.99,IT Services,Medium
TXN-000363,59689,177.07,Operations,Low
TXN-000364,60993,54.56,Payroll,Medium
TXN-000365,39592,603.46,Payroll,Low
TXN-000366,20647,364.9,Procurement,Low
TXN-000367,18716,95.72,Procurement,Low
TXN-000368,98891,511.06,Travel,High
TXN-000369,97545,383.02,IT Services,Low
TXN-000370,99912,426.14,IT Services,High
TXN-000371,80316,2644.85,IT Services,Low
TXN-000372,12368,24.52,Travel,High
TXN-000373,87575,1242.39,Payroll,Low
TXN-000374,16655,932.23,Payroll,Low
TXN-000375,80031,278.36,IT Services,Medium
TXN-000376,86429,1074.09,Payroll,Low
TXN-000377,97922,532.86,IT Services,Low
TXN-000378,65766,1110.71,Payroll,Low
TXN-000379,23403,461.6,Operations,Low
TXN-000380,42097,131.77,Procurement,Low
TXN-000381,88657,439.27,Operations,Medium
TXN-000382,20966,108.65,Procurement,Low
TXN-000383,62921,85.89,Payroll,Low
TXN-000384,59726,540.75,Operations,Low
TXN-000385,60300,1483.25,IT Services,Low
TXN-000386,32677,453.97,Operations,Low
TXN-000387,65609,804.3,Payroll,Medium
TXN-000388,66661,102.18,Payroll,Low
TXN-000389,41024,540.96,Procurement,Medium
TXN-000390,80313,670.21,Operations,Low
TXN-000391,63006,31.25,Payroll,Low
TXN-000392,25338,61.11,Operations,Low
TXN-000393,78027,770.67,Travel,Low
TXN-000394,90135,299.86,Payroll,Medium
TXN-000395,29508,270.09,Procurement,Low
TXN-000396,13051,1275.18,Procurement,Medium
TXN-000397,58747,2422.03,IT Services,Low
TXN-000398,97142,732.78,Payroll,Low
TXN-000399,97235,796.54,IT Services,Low
TXN-000400,64021,126.8,Procurement,Low
TXN-000401,76412,116.74,Payroll,Low
TXN-000402,68335,1983.38,Travel,Medium
TXN-000403,66179,603.87,Operations,Low
TXN-000404,42093,590.31,Payroll,Low
TXN-000405,79678,178.57,IT Services,Low
TXN-000406,90738,1097.89,Payroll,Low
TXN-000407,49734,32.73,Procurement,Low
TXN-000408,82615,170.51,Procurement,Low
TXN-000409,83523,109.31,Procurement,Low
TXN-000410,27019,630.83,Operations,Low
TXN-000411,93613,638.25,Payroll,Low
TXN-000412,96672,392.57,Procurement,High
TXN-000413,83847,12.64,Procurement,Low
TXN-000414,92750,1044.77,Travel,Low
TXN-000415,89634,1567.11,Procurement,Medium
TXN-000416,38251,123.02,IT Services,Low
TXN-000417,35945,933.32,Procurement,Low
TXN-000418,42217,1821.29,IT Services,Low
TXN-000419,18308,207.99,Operations,Medium
TXN-000420,15949,112.32,Operations,Medium
TXN-000421,61990,1908.01,Payroll,Low
TXN-000422,11150,40.8,Travel,Low
TXN-000423,99480,171.45,Payroll,Medium
TXN-000424,84740,687.45,Procurement,Low
TXN-000425,76617,490.32,Operations,Low
TXN-000426,26896,586.82,IT Services,Low
TXN-000427,56175,625.66,Payroll,Low
TXN-000428,17805,589.41,Operations,Low
TXN-000429,15237,219.46,IT Services,Low
TXN-000430,30056,196.62,IT Services,Low
TXN-000431,55543,289.72,Procurement,Low
TXN-000432,66556,834.31,Payroll,Low
TXN-000433,13343,1402.5,IT Services,Medium
TXN-000434,23500,313.71,Operations,Low
TXN-000435,63222,54.83,Payroll,Low
TXN-000436,39375,1402.72,Procurement,Low
TXN-000437,19662,51.92,Procurement,Low
TXN-000438,26964,96.65,Operations,Low
TXN-000439,69638,1021.26,IT Services,Low
TXN-000440,83666,410.9,Procurement,Low
TXN-000441,95067,227.46,Procurement,Low
TXN-000442,77215,1346.17,IT Services,Low
TXN-000443,79042,1625.81,IT Services,Low
TXN-000444,23284,210.81,IT Services,Low
TXN-000445,82789,1024.09,Travel,Medium
TXN-000446,94664,577.42,Travel,Medium
TXN-000447,71389,170.44,IT Services,Low
TXN-000448,19435,1428.79,IT Services,Low
TXN-000449,64340,42.57,Operations,Low
TXN-000450,54078,201.32,Procurement,Low
TXN-000451,88832,262.31,Payroll,Medium
TXN-000452,61293,596.65,Travel,Low
TXN-000453,88781,29.6,Travel,Low
TXN-000454,70403,1112.62,IT Services,Low
TXN-000455,39124,548.09,IT Services,Low
TXN-000456,53919,170.81,IT Services,Low
TXN-000457,45247,546.97,Payroll,Low
TXN-000458,72752,394.93,Travel,Medium
TXN-000459,66573,214.94,Payroll,Low
TXN-000460,69101,24.51,Procurement,Low
TXN-000461,36646,410.48,Payroll,Low
TXN-000462,33049,52.88,Operations,Low
TXN-000463,89605,840.83,Travel,Low
TXN-000464,78385,56.35,Payroll,Low
TXN-000465,50158,289.95,Travel,Low
TXN-000466,75417,295.07,IT Services,Low
TXN-000467,33289,416.19,Payroll,Low
TXN-000468,19823,30.15,Travel,Low
TXN-000469,70160,123.97,Payroll,Low
TXN-000470,51975,121.26,Payroll,Low
TXN-000471,19540,466.86,Payroll,Low
TXN-000472,26364,163.02,Operations,Low
TXN-000473,14611,87.86,Operations,Low
TXN-000474,37663,19.26,Payroll,Low
TXN-000475,61991,928.0,Payroll,Low
TXN-000476,67679,1789.77,Travel,Low
TXN-000477,40977,617.45,IT Services,Medium
TXN-000478,59115,276.12,Procurement,Low
TXN-000479,98223,75.06,IT Services,Low
TXN-000480,70890,332.28,Travel,High
TXN-000481,76387,315.62,Operations,Medium
TXN-000482,28071,282.26,Travel,Medium
TXN-000483,69275,247.65,Travel,Low
TXN-000484,82369,353.34,Procurement,High
TXN-000485,21938,48.0,IT Services,Low
TXN-000486,45195,29.52,Operations,Low
TXN-000487,14000,43.05,Travel,Low
TXN-000488,80588,121.57,Procurement,Low
TXN-000489,48304,172.91,Travel,High
TXN-000490,79449,102.84,Travel,Medium
TXN-000491,92986,155.12,IT Services,Low
TXN-000492,99643,112.8,IT Services,Low
TXN-000493,30764,91.7,Procurement,Medium
TXN-000494,96027,183.35,Travel,Low
TXN-000495,48494,263.34,Travel,Low
TXN-000496,13373,691.81,Travel,Low
TXN-000497,22161,1566.69,Payroll,Low
TXN-000498,37350,1266.44,Payroll,Low
TXN-000499,35351,333.07,Travel,Low
TXN-000500,98668,319.34,IT Services,Low
TXN-000501,25305,77.16,Procurement,Medium
TXN-000502,85353,1793.16,IT Services,Low
TXN-000503,86797,723.76,Procurement,Low
TXN-000504,75953,950.52,Operations,Low
TXN-000505,67458,143.39,Travel,Medium
TXN-000506,30358,266.32,Travel,Low
TXN-000507,13267,64.15,Payroll,Low
TXN-000508,92745,1423.53,Operations,Low
TXN-000509,99588,178.32,Payroll,Medium
TXN-000510,48513,463.18,IT Services,Low
TXN-000511,36092,92.57,Payroll,Low
TXN-000512,21338,821.76,Procurement,Low
TXN-000513,10412,113.11,Travel,High
TXN-000514,17543,838.75,IT Services,Medium
TXN-000515,43496,266.88,Operations,Low
TXN-000516,70692,441.09,Travel,Low
TXN-000517,99084,167.16,IT Services,Low
TXN-000518,54425,1081.84,Operations,Medium
TXN-000519,48756,723.28,Procurement,Low
TXN-000520,28888,228.69,Procurement,Low
TXN-000521,45735,450.18,Operations,Low
TXN-000522,57295,79.05,Travel,Low
TXN-000523,93042,97.46,Procurement,Low
TXN-000524,95999,391.44,IT Services,Medium
TXN-000525,27955,521.66,Travel,Low
TXN-000526,47841,417.58,Operations,Low
TXN-000527,80640,419.82,Procurement,Medium
TXN-000528,75510,687.96,Procurement,Low
TXN-000529,44911,1173.48,Payroll,Low
TXN-000530,69031,255.18,Payroll,Medium
TXN-000531,98726,394.94,Travel,Medium
TXN-000532,17357,1127.58,Travel,Low
TXN-000533,42479,322.07,Operations,Low
TXN-000534,71476,304.53,Operations,Low
TXN-000535,54811,737.32,Operations,Low
TXN-000536,46208,1059.01,Payroll,High
TXN-000537,30150,679.08,Procurement,Medium
TXN-000538,81180,62.75,Procurement,Low
TXN-000539,53286,322.53,Operations,Low
TXN-000540,78450,129.11,Payroll,Low
TXN-000541,31352,200.88,Operations,Medium
TXN-000542,65069,326.27,IT Services,Medium
TXN-000543,24397,135.21,Travel,Low
TXN-000544,51555,372.77,Payroll,Low
TXN-000545,56959,525.4,Procurement,Low
TXN-000546,10728,1049.31,IT Services,Low
TXN-000547,60517,128.79,Travel,Low
TXN-000548,76234,195.94,Travel,Low
TXN-000549,49954,270.27,Travel,Low
TXN-000550,57280,137.15,Payroll,Low
TXN-000551,89459,211.76,Payroll,Low
TXN-000552,26779,1084.29,Payroll,Medium
TXN-000553,73932,84.63,Procurement,Low
TXN-000554,82936,303.27,Procurement,Low
TXN-000555,34466,196.23,Procurement,Medium
TXN-000556,46939,50.15,IT Services,Low
TXN-000557,79896,60.53,IT Services,Low
TXN-000558,45270,778.28,Operations,Low
TXN-000559,69163,966.4,Operations,Low
TXN-000560,92637,686.25,Travel,Low
TXN-000561,61934,397.43,Travel,Low
TXN-000562,74895,750.65,Payroll,Low
TXN-000563,42307,92.45,Travel,High
TXN-000564,64098,767.52,Travel,Low
TXN-000565,70921,285.37,IT Services,Medium
TXN-000566,15486,703.78,Procurement,Low
TXN-000567,18335,139.22,Travel,Low
TXN-000568,96900,903.52,Operations,Low
TXN-000569,99112,429.8,Operations,Medium
TXN-000570,21130,13.68,Travel,Low
TXN-000571,97508,376.22,Payroll,Low
TXN-000572,70566,195.73,Operations,Low
TXN-000573,76703,39.61,Travel,Low
TXN-000574,37192,306.48,Operations,Low
TXN-000575,11062,196.6,Travel,Medium
TXN-000576,94076,124.32,IT Services,Low
TXN-000577,99780,224.72,Operations,Low
TXN-000578,31545,108.99,Travel,Medium
TXN-000579,31689,188.2,IT Services,Low
TXN-000580,21174,71.27,Travel,Low
TXN-000581,98461,54.04,Travel,Low
TXN-000582,19348,1214.08,Payroll,Medium
TXN-000583,33714,1175.32,Travel,Low
TXN-000584,48102,890.15,Operations,Medium
TXN-000585,84460,140.89,Procurement,High
TXN-000586,99930,657.11,Travel,Low
TXN-000587,16801,455.45,Operations,Medium
TXN-000588,82267,36.3,Travel,Low
TXN-000589,58136,1159.23,Procurement,Low
TXN-000590,33625,3112.85,Procurement,Low
TXN-000591,92873,626.74,Travel,Low
TXN-000592,82592,141.66,Operations,Low
TXN-000593,87052,414.18,IT Services,High
TXN-000594,54261,67.92,Payroll,Low
TXN-000595,11542,187.47,Travel,Low
TXN-000596,31677,641.61,Operations,Low
TXN-000597,56732,189.11,Procurement,Low
TXN-000598,60343,89.62,Operations,Medium
TXN-000599,49081,13.75,Travel,Medium
TXN-000600,72856,434.92,Operations,High
TXN-000601,98858,1741.6,Operations,Medium
TXN-000602,29065,340.95,Travel,Low
TXN-000603,93460,129.52,Travel,Low
TXN-000604,98092,321.14,IT Services,Medium
TXN-000605,64693,470.76,Travel,Low
TXN-000606,36962,818.15,Procurement,Medium
TXN-000607,38295,311.36,Operations,Low
TXN-000608,23807,104.95,Procurement,Low
TXN-000609,52348,114.13,Payroll,Low
TXN-000610,36432,1159.92,Payroll,Low
TXN-000611,93285,144.75,Travel,High
TXN-000612,67854,661.01,Operations,High
TXN-000613,50262,166.64,Travel,Medium
TXN-000614,47080,647.49,IT Services,High
TXN-000615,11324,50.8,Procurement,Low
TXN-000616,45909,126.21,Travel,Low
TXN-000617,99339,272.72,IT Services,Medium
TXN-000618,29870,372.13,Procurement,Low
TXN-000619,44578,227.67,Travel,Low
TXN-000620,82124,436.09,Travel,Medium
TXN-000621,36790,206.8,Travel,Low
TXN-000622,35289,577.28,IT Services,Medium
TXN-000623,65129,367.91,Procurement,Medium
TXN-000624,25485,620.58,Operations,Medium
TXN-000625,54482,291.92,IT Services,Low
TXN-000626,96188,1055.76,IT Services,Low
TXN-000627,14748,250.74,IT Services,Low
TXN-000628,96769,194.18,Procurement,Low
TXN-000629,19435,417.19,Payroll,Low
TXN-000630,13709,365.83,Operations,Low
TXN-000631,40355,375.01,Operations,Low
TXN-000632,65771,805.14,Operations,Medium
TXN-000633,67799,454.09,Payroll,Low
TXN-000634,23116,1092.57,IT Services,Medium
TXN-000635,35470,492.61,Payroll,Low
TXN-000636,52344,20.97,Operations,Medium
TXN-000637,52918,1031.63,IT Services,Low
TXN-000638,62224,925.62,Procurement,Low
